Tested at The Flinders University of South Australia

Cell Name:,CP55O_6
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000

Light Power (mW/cm2): ,100
Jsc (mA/cm2): ,17.200
Voc (V): ,0.907
FF: ,0.59
Eff (%): ,9.22
Rshunt (Ohms): ,4.24E+3
Rseries (Ohms): ,7.27E+1



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+0,2.06202E-3,2.06202E+1,2.06202E+1
9.59200E-1,9.77665E-4,9.77665E+0,9.37776E+0
9.18350E-1,1.54942E-4,1.54942E+0,1.42291E+0
8.77550E-1,-4.06489E-4,-4.06489E+0,-3.56714E+0
8.36750E-1,-7.68974E-4,-7.68974E+0,-6.43439E+0
7.95900E-1,-1.00626E-3,-1.00626E+1,-8.00883E+0
7.55100E-1,-1.16307E-3,-1.16306E+1,-8.78230E+0
7.14300E-1,-1.29089E-3,-1.29089E+1,-9.22081E+0
6.73450E-1,-1.36673E-3,-1.36674E+1,-9.20428E+0
6.32650E-1,-1.44248E-3,-1.44248E+1,-9.12583E+0
5.91850E-1,-1.49638E-3,-1.49637E+1,-8.85630E+0
5.51000E-1,-1.53413E-3,-1.53413E+1,-8.45308E+0
5.10200E-1,-1.56507E-3,-1.56507E+1,-7.98498E+0
4.69400E-1,-1.59587E-3,-1.59587E+1,-7.49101E+0
4.28550E-1,-1.62041E-3,-1.62041E+1,-6.94428E+0
3.87750E-1,-1.63357E-3,-1.63357E+1,-6.33417E+0
3.46950E-1,-1.66105E-3,-1.66105E+1,-5.76300E+0
3.06100E-1,-1.66518E-3,-1.66517E+1,-5.09710E+0
2.65300E-1,-1.68215E-3,-1.68215E+1,-4.46274E+0
2.24500E-1,-1.68242E-3,-1.68242E+1,-3.77702E+0
1.83650E-1,-1.69779E-3,-1.69779E+1,-3.11800E+0
1.42850E-1,-1.69206E-3,-1.69206E+1,-2.41710E+0
1.02050E-1,-1.71162E-3,-1.71162E+1,-1.74671E+0
6.12000E-2,-1.71941E-3,-1.71941E+1,-1.05228E+0
2.04000E-2,-1.71517E-3,-1.71517E+1,-3.49894E-1
-2.04000E-2,-1.72478E-3,-1.72478E+1,3.51855E-1
-6.12000E-2,-1.72664E-3,-1.72664E+1,1.05670E+0
-1.02050E-1,-1.74071E-3,-1.74071E+1,1.77639E+0
-1.42850E-1,-1.73581E-3,-1.73581E+1,2.47960E+0
-1.83650E-1,-1.74695E-3,-1.74695E+1,3.20828E+0
-2.24500E-1,-1.74852E-3,-1.74852E+1,3.92542E+0
-2.65300E-1,-1.75056E-3,-1.75056E+1,4.64423E+0
-3.06100E-1,-1.77018E-3,-1.77018E+1,5.41853E+0
-3.46950E-1,-1.75297E-3,-1.75297E+1,6.08194E+0
-3.87750E-1,-1.77306E-3,-1.77306E+1,6.87504E+0
-4.28550E-1,-1.76208E-3,-1.76208E+1,7.55138E+0
-4.69400E-1,-1.77632E-3,-1.77632E+1,8.33806E+0
-5.10200E-1,-1.78489E-3,-1.78489E+1,9.10651E+0
-5.51000E-1,-1.77176E-3,-1.77176E+1,9.76241E+0
-5.91850E-1,-1.78403E-3,-1.78403E+1,1.05588E+1
-6.32650E-1,-1.77385E-3,-1.77385E+1,1.12223E+1
-6.73450E-1,-1.79909E-3,-1.79909E+1,1.21160E+1
-7.14300E-1,-1.77863E-3,-1.77863E+1,1.27048E+1
-7.55100E-1,-1.79791E-3,-1.79792E+1,1.35761E+1
-7.95900E-1,-1.80166E-3,-1.80165E+1,1.43394E+1
-8.36750E-1,-1.79684E-3,-1.79684E+1,1.50351E+1
-8.77550E-1,-1.80788E-3,-1.80788E+1,1.58651E+1
-9.18350E-1,-1.79687E-3,-1.79687E+1,1.65016E+1
-9.59200E-1,-1.80632E-3,-1.80632E+1,1.73262E+1
-1.00000E+0,-1.80320E-3,-1.80320E+1,1.80320E+1
