Tested at The Flinders University of South Australia

Cell Name:,CP55O_1
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,2.579
Jsat [Ln J vs. V] (A/m2): ,4.271E-5
Jsat [Ln J vs. V] (mA/cm2): ,4.271E-6
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.998



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
2.00000E+0,5.30037E-2,5.30037E+2,1.06007E+3
1.91835E+0,4.80478E-2,4.80478E+2,9.21725E+2
1.83675E+0,4.30055E-2,4.30055E+2,7.89904E+2
1.75510E+0,3.80135E-2,3.80135E+2,6.67175E+2
1.67345E+0,3.31073E-2,3.31073E+2,5.54034E+2
1.59185E+0,2.83215E-2,2.83215E+2,4.50836E+2
1.51020E+0,2.36795E-2,2.36795E+2,3.57608E+2
1.42855E+0,1.92156E-2,1.92156E+2,2.74504E+2
1.34695E+0,1.49855E-2,1.49855E+2,2.01847E+2
1.26530E+0,1.10402E-2,1.10402E+2,1.39692E+2
1.18365E+0,7.46689E-3,7.46689E+1,8.83818E+1
1.10205E+0,4.39891E-3,4.39891E+1,4.84782E+1
1.02040E+0,2.03603E-3,2.03603E+1,2.07757E+1
9.38800E-1,6.44669E-4,6.44669E+0,6.05215E+0
8.57150E-1,1.60560E-4,1.60560E+0,1.37624E+0
7.75500E-1,5.33909E-5,5.33909E-1,4.14046E-1
6.93900E-1,2.76118E-5,2.76118E-1,1.91599E-1
6.12250E-1,1.96099E-5,1.96099E-1,1.20062E-1
5.30600E-1,1.57952E-5,1.57952E-1,8.38095E-2
4.49000E-1,1.26362E-5,1.26362E-1,5.67364E-2
3.67350E-1,9.98378E-6,9.98378E-2,3.66754E-2
2.85700E-1,7.55489E-6,7.55489E-2,2.15843E-2
2.04100E-1,5.73695E-6,5.73695E-2,1.17091E-2
1.22450E-1,3.97861E-6,3.97861E-2,4.87181E-3
4.08000E-2,2.54810E-6,2.54810E-2,1.03962E-3
-4.08000E-2,1.37091E-6,1.37091E-2,-5.59330E-4
-1.22450E-1,1.78814E-7,1.78814E-3,-2.18958E-4
-2.04100E-1,-1.10269E-6,-1.10269E-2,2.25058E-3
-2.85700E-1,-1.50502E-6,-1.50502E-2,4.29983E-3
-3.67350E-1,-2.17557E-6,-2.17557E-2,7.99196E-3
-4.49000E-1,-2.63751E-6,-2.63751E-2,1.18424E-2
-5.30600E-1,-2.93553E-6,-2.93553E-2,1.55759E-2
-6.12250E-1,-3.02494E-6,-3.02494E-2,1.85202E-2
-6.93900E-1,-3.42727E-6,-3.42727E-2,2.37818E-2
-7.75500E-1,-3.91900E-6,-3.91900E-2,3.03919E-2
-8.57150E-1,-4.47035E-6,-4.47035E-2,3.83176E-2
-9.38800E-1,-4.66406E-6,-4.66406E-2,4.37862E-2
-1.02040E+0,-4.97699E-6,-4.97699E-2,5.07852E-2
-1.10205E+0,-5.34952E-6,-5.34952E-2,5.89544E-2
-1.18365E+0,-5.39422E-6,-5.39422E-2,6.38487E-2
-1.26530E+0,-5.31972E-6,-5.31972E-2,6.73104E-2
-1.34695E+0,-5.18560E-6,-5.18560E-2,6.98475E-2
-1.42855E+0,-5.43892E-6,-5.43892E-2,7.76977E-2
-1.51020E+0,-7.76350E-6,-7.76350E-2,1.17244E-1
-1.59185E+0,-7.40588E-6,-7.40588E-2,1.17890E-1
-1.67345E+0,-7.13766E-6,-7.13766E-2,1.19445E-1
-1.75510E+0,-7.74860E-6,-7.74860E-2,1.35996E-1
-1.83675E+0,-8.79168E-6,-8.79168E-2,1.61481E-1
-1.91835E+0,-9.98378E-6,-9.98378E-2,1.91524E-1
-2.00000E+0,-1.11461E-5,-1.11461E-1,2.22921E-1
